t,x,y,z,vx,vy,vz,energy,h_mag
0,6615000,0,0,-0,10210.0299294,0,-8134702.89388,67539347982.8
24.6189843859,6612240.10844,251325.613383,0,-224.158680962,10205.7714266,0,-8134702.89383,67539347982.8
47.6572196294,6604664.1842,486328.303009,0,-433.39662957,10194.0951209,0,-8134702.8938,67539347982.8
71.9011719655,6591498.26385,733244.428788,0,-652.491612511,10173.8496255,0,-8134702.89376,67539347982.8
96.0212479084,6573147.37277,978315.161016,0,-868.817595947,10145.7287924,0,-8134702.89372,67539347982.8
120.827587577,6548858.5545,1229550.88217,0,-1089.02824143,10108.6825738,0,-8134702.89368,67539347982.8
146.069693506,6518571.17785,1484152.92347,0,-1310.18498805,10062.7624234,0,-8134702.89363,67539347982.8
172.002125569,6481687.50753,1744402.93263,0,-1533.75216643,10007.2498297,0,-8134702.89357,67539347982.8
198.604525801,6437883.52042,2009768.94929,0,-1758.69481779,9941.89744872,0,-8134702.89351,67539347982.9
225.978692461,6386631.31185,2280903.19322,0,-1984.94558548,9866.21525212,0,-8134702.89344,67539347982.9
254.15245836,6327498.18679,2557675.41486,0,-2211.72718101,9779.92658723,0,-8134702.89336,67539347982.9
283.182399643,6259983.65291,2840194.87887,0,-2438.42438949,9682.73255654,0,-8134702.89328,67539347982.9
313.103956571,6183624.09175,3128317.16163,0,-2664.18540608,9574.47124485,0,-8134702.89318,67539347983
343.958293248,6097943.71675,3421908.03881,0,-2888.15042451,9455.05001461,0,-8134702.89308,67539347983.1
375.779579413,6002492.61466,3720721.44512,0,-3109.36952428,9324.50128746,0,-8134702.89296,67539347983.1
408.602223334,5896835.37906,4024471.18654,0,-3326.87532069,9182.96520642,0,-8134702.89284,67539347983.2
442.457979474,5780565.89559,4332806.45987,0,-3539.68189953,9030.70604609,0,-8134702.8927,67539347983.3
477.378454718,5653305.28877,4645338.71798,0,-3746.82180549,8868.10264442,0,-8134702.89255,67539347983.4
513.395130628,5514706.04726,4961645.37675,0,-3947.36458959,8695.64475536,0,-8134702.89239,67539347983.6
550.540803627,5364449.72345,5281286.13058,0,-4140.44166295,8513.91908009,0,-8134702.89222,67539347983.7
588.850182879,5202246.05408,5603811.06239,0,-4325.2625338,8323.59590436,0,-8134702.89204,67539347983.9
628.360447955,5027831.12669,5928767.87276,0,-4501.1274489,8125.41375085,0,-8134702.89184,67539347984.1
669.110986509,4840968.38498,6255701.92708,0,-4667.43319464,7920.16681476,0,-8134702.89163,67539347984.3
711.142378597,4641453.18332,6584150.70025,0,-4823.674275,7708.69557784,0,-8134702.8914,67539347984.5
754.494339423,4429123.07304,6913631.58156,0,-4969.44034209,7491.88219558,0,-8134702.89116,67539347984.7
799.202637636,4203874.53177,7243624.824,0,-5104.41221836,7270.6501341,0,-8134702.89091,67539347984.9
845.295056802,3965686.24022,7573553.80921,0,-5228.35850166,7045.96678771,0,-8134702.89064,67539347985.2
892.786765875,3714647.03515,7902766.68715,0,-5341.13469778,6818.84614731,0,-8134702.89037,67539347985.5
941.675723201,3450984.6773,8230524.37467,0,-5442.68592343,6590.34767059,0,-8134702.89008,67539347985.7
991.938933645,3175089.90721,8555999.79948,0,-5533.05285736,6361.56752665,0,-8134702.8898,67539347986
1043.5302051,2887530.81987,8878290.4922,0,-5612.37882719,6133.62056063,0,-8134702.88953,67539347986.3
1096.37939709,2589056.34339,9196441.43992,0,-5680.91463994,5907.61541908,0,-8134702.88926,67539347986.5
1150.39215939,2280593.91666,9509469.47724,0,-5739.01795635,5684.62969529,0,-8134702.88901,67539347986.7
1205.4482339,1963252.75368,9816377.36234,0,-5787.14595612,5465.69432317,0,-8134702.88878,67539347987
1261.39577096,1638348.51352,10116145.897,0,-5825.8428004,5251.79604597,0,-8134702.88857,67539347987.2
1318.03845005,1307469.35422,10407693.2593,0,-5855.72560291,5043.90567975,0,-8134702.88839,67539347987.3
1375.11045695,972613.267825,10689786.7625,0,-5877.47373708,4843.04213376,0,-8134702.88824,67539347987.5
1432.22926344,636455.955095,10960874.423,0,-5891.82708665,4650.39433618,0,-8134702.88812,67539347987.6
1488.80036163,302900.590676,11218744.2294,0,-5899.60147018,4467.56487141,0,-8134702.88802,67539347987.7
1543.78644686,-21577.1741899,11459681.0229,0,-5901.74094354,4297.16627136,0,-8134702.88796,67539347987.7
1594.86272811,-322975.105213,11675255.4155,0,-5899.49453236,4145.07953802,0,-8134702.88793,67539347987.8
1648.02241081,-636442.50486,11891533.8017,0,-5893.31685871,3992.86443337,0,-8134702.8879,67539347987.8
1705.45387378,-974619.045163,12116286.5326,0,-5882.75023628,3835.07740098,0,-8134702.88786,67539347987.9
1765.7890593,-1329124.09921,12342854.3598,0,-5867.82844722,3676.40910816,0,-8134702.88781,67539347987.9
1829.73905494,-1703766.15191,12572783.8676,0,-5848.29787958,3515.76255838,0,-8134702.88775,67539347988
1896.90657915,-2095792.6688,12803483.1297,0,-5824.23935072,3354.91310135,0,-8134702.88769,67539347988
1967.39366038,-2505337.53081,13034252.3887,0,-5795.66093432,3194.28392014,0,-8134702.88762,67539347988.1
2040.99708203,-2930724.31045,13263447.2584,0,-5762.74651229,3034.92771707,0,-8134702.88755,67539347988.2
2117.65589891,-3371085.45308,13490012.0269,0,-5725.68140354,2877.45983982,0,-8134702.88748,67539347988.3
2197.24207372,-3825155.8309,13712797.3889,0,-5684.72447615,2722.53665613,0,-8134702.88742,67539347988.4
2279.68075795,-4291972.79402,13930919.7995,0,-5640.13974791,2570.60960709,0,-8134702.88735,67539347988.5
