t,x,y,z,vx,vy,vz,energy,h_mag
0,6778000,0,0,-0,7668.6356752,0,-29403986.5595,51978012606.5
33.7433957311,6773061.10863,258702.954056,0,-292.696769378,7663.04780884,0,-29403986.5594,51978012606.5
65.2938409604,6759513.63299,500259.377704,0,-565.99393787,7647.72018199,0,-29403986.5594,51978012606.6
98.4827923037,6735968.39332,753666.904857,0,-852.699456194,7621.08107538,0,-29403986.5593,51978012606.6
131.450888677,6703177.7001,1004336.95535,0,-1136.30779081,7583.9816538,0,-29403986.5593,51978012606.6
165.289290236,6659824.34255,1260168.13361,0,-1425.75543033,7534.93162371,0,-29403986.5592,51978012606.7
199.62074392,6605865.01804,1517837.72578,0,-1717.28305309,7473.88199246,0,-29403986.5592,51978012606.7
234.758967722,6540319.06002,1779188.18314,0,-2012.97521026,7399.72323301,0,-29403986.5591,51978012606.8
270.634653822,6462735.07298,2043120.00968,0,-2311.587931,7311.94463602,0,-29403986.5591,51978012606.8
307.34062656,6372338.12798,2309673.30583,0,-2613.16658496,7209.66944617,0,-29403986.559,51978012606.9
344.863462973,6268572.62177,2578038.26231,0,-2916.79495318,7092.2690534,0,-29403986.5589,51978012607
383.223238861,6150817.37486,2847583.1185,0,-3221.75826106,6959.04065465,0,-29403986.5588,51978012607.1
422.405604939,6018579.69664,3117367.8689,0,-3526.99298549,6809.42681929,0,-29403986.5587,51978012607.2
462.397155802,5871418.2004,3386404.03822,0,-3831.3807646,6642.92816197,0,-29403986.5585,51978012607.3
503.167083346,5709023.23381,3653537.69774,0,-4133.61604234,6459.19434175,0,-29403986.5584,51978012607.4
544.674692575,5531215.57368,3917516.84992,0,-4432.28230747,6258.02258533,0,-29403986.5582,51978012607.6
586.862938012,5337996.59383,4176969.7575,0,-4725.82757516,6039.41444706,0,-29403986.5581,51978012607.7
629.658801792,5129573.68772,4430435.39302,0,-5012.59883755,5803.6045721,0,-29403986.5579,51978012607.9
672.971025966,4906396.06542,4676383.39289,0,-5290.86463981,5551.10119714,0,-29403986.5576,51978012608.1
716.691197972,4669171.63449,4913259.63433,0,-5558.86664594,5282.70524947,0,-29403986.5574,51978012608.3
760.696119415,4418869.49272,5139540.48447,0,-5814.88101624,4999.51316724,0,-29403986.5572,51978012608.5
804.852633481,4156698.08901,5353797.24872,0,-6057.2913243,4702.89219071,0,-29403986.557,51978012608.7
849.02334812,3884065.00332,5554756.79324,0,-6284.65714526,4394.43485716,0,-29403986.5567,51978012608.9
893.072280441,3602524.66756,5741350.01547,0,-6495.76889546,4075.89985236,0,-29403986.5565,51978012609.1
936.869134269,3313724.95542,5912741.40302,0,-6689.68127536,3749.15158215,0,-29403986.5563,51978012609.3
980.291728425,3019360.28507,6068339.76033,0,-6865.72540575,3416.10711291,0,-29403986.5561,51978012609.5
1023.22651862,2721136.07105,6207793.68693,0,-7023.5037118,3078.69595223,0,-29403986.5559,51978012609.7
1065.56751794,2420745.924,6330977.26635,0,-7162.87373148,2738.83425285,0,-29403986.5557,51978012609.8
1107.21393171,2119861.54202,6437971.03266,0,-7283.92658111,2398.41337558,0,-29403986.5555,51978012610
1148.0666992,1820134.92534,6529042.2596,0,-7386.96465445,2059.30239505,0,-29403986.5554,51978012610.1
1188.02387733,1523213.57905,6604627.49639,0,-7472.48186372,1723.36530012,0,-29403986.5552,51978012610.2
1226.97441978,1230771.71761,6665319.56865,0,-7541.14893238,1392.49629864,0,-29403986.5551,51978012610.3
1264.78922545,944565.366838,6711861.16071,0,-7593.80613419,1068.68215987,0,-29403986.555,51978012610.4
1301.30687081,666530.254529,6745147.98893,0,-7631.46688351,754.112968103,0,-29403986.555,51978012610.5
1336.3076209,398970.45286,6766247.5975,0,-7655.33900083,451.395552808,0,-29403986.5549,51978012610.5
1369.45691992,144980.250265,6776449.26935,0,-7666.88118213,164.030794876,0,-29403986.5549,51978012610.6
1400.14439249,-90337.0644467,6777397.9659,0,-7667.9545383,-102.207439856,0,-29403986.5548,51978012610.6
1426.67976178,-293737.796646,6771632.1578,0,-7661.43109749,-332.33522263,0,-29403986.5548,51978012610.6
1456.16333806,-519418.883427,6758068.36291,0,-7646.08500696,-587.671019868,0,-29403986.5548,51978012610.6
1485.56067895,-743864.736367,6737057.90599,0,-7622.3137559,-841.609272356,0,-29403986.5548,51978012610.6
1516.34858246,-978041.0957,6707064.9013,0,-7588.37964171,-1106.55662908,0,-29403986.5547,51978012610.7
1547.84282744,-1216359.97702,6667964.63563,0,-7544.14156374,-1376.19083912,0,-29403986.5547,51978012610.7
1580.4385863,-1461384.19677,6618582.94544,0,-7488.27107226,-1653.41147549,0,-29403986.5547,51978012610.7
1613.96606347,-1711335.55188,6558400.30844,0,-7420.18037922,-1936.2066775,0,-29403986.5546,51978012610.8
1648.52286354,-1966380.09306,6486496.22733,0,-7338.82803313,-2224.76431509,0,-29403986.5546,51978012610.8
1684.05522287,-2225486.96725,6402225.52998,0,-7243.48408561,-2517.91808015,0,-29403986.5545,51978012610.9
1720.57377688,-2488033.97775,6304837.10371,0,-7133.29872707,-2814.9640187,0,-29403986.5544,51978012610.9
1758.04613791,-2753019.73853,6193719.90799,0,-7007.58062565,-3114.76916167,0,-29403986.5543,51978012611
1796.45253555,-3019472.30841,6068284.02094,0,-6865.66234319,-3416.23385386,0,-29403986.5542,51978012611.1
1835.75745108,-3286252.57179,5928054.31951,0,-6707.00632501,-3718.06929879,0,-29403986.5541,51978012611.2
1875.92272605,-3552156.03154,5772648.56967,0,-6531.18011117,-4018.91272725,0,-29403986.554,51978012611.3
1916.89852816,-3815863.96008,5601827.04303,0,-6337.91247274,-4317.27212962,0,-29403986.5538,51978012611.5
1958.62467231,-4075970.98989,5415509.62255,0,-6127.11276521,-4611.55747176,0,-29403986.5537,51978012611.6
2001.02632828,-4330981.68511,5213816.41662,0,-5898.91687934,-4900.07681606,0,-29403986.5535,51978012611.8
2044.01305237,-4579335.63279,4997096.07129,0,-5653.7192736,-5181.06470985,0,-29403986.5533,51978012611.9
2087.47776584,-4819437.94542,4765952.35753,0,-5392.20305503,-5452.71669588,0,-29403986.5531,51978012612.1
2131.29848857,-5049709.37351,4521251.95356,0,-5115.34878422,-5713.24600975,0,-29403986.5529,51978012612.3
2175.34192677,-5268645.50512,4264112.8651,0,-4824.42137388,-5960.95055836,0,-29403986.5526,51978012612.5
2219.46884116,-5474879.1454,3995870.65965,0,-4520.93188636,-6194.28349614,0,-29403986.5524,51978012612.7
2263.53971736,-5667233.6075,3718030.01924,0,-4206.58272036,-6411.91351846,0,-29403986.5522,51978012612.9
2307.41960854,-5844759.60195,3432210.53871,0,-3883.20628701,-6612.7665983,0,-29403986.5519,51978012613.1
2350.98126371,-6006752.76232,3140096.37427,0,-3552.70804228,-6796.0458148,0,-29403986.5517,51978012613.3
2394.10634875,-6152754.2882,2843395.62095,0,-3217.02052649,-6961.23208075,0,-29403986.5515,51978012613.5
2436.6849329,-6282539.58327,2543812.17346,0,-2878.07152777,-7108.07128764,0,-29403986.5513,51978012613.7
2478.61357978,-6396100.26539,2243030.40222,0,-2537.76674441,-7236.55395192,0,-29403986.5512,51978012613.8
2519.79229653,-6493624.02763,1942712.27392,0,-2197.98652712,-7346.89242969,0,-29403986.551,51978012614
2560.12039423,-6575475.70082,1644507.00838,0,-1860.59680478,-7439.49949093,0,-29403986.5509,51978012614.1
2599.49099064,-6642181.95974,1350075.11192,0,-1527.47627582,-7514.97101595,0,-29403986.5507,51978012614.2
2637.78336308,-6694421.73682,1061132.22799,0,-1200.5660209,-7574.07514958,0,-29403986.5506,51978012614.3
2674.85131859,-6733024.82026,779525.988695,0,-881.956452739,-7617.75071499,0,-29403986.5506,51978012614.4
2710.5032355,-6758983.01687,507378.139613,0,-574.048116311,-7647.11984334,0,-29403986.5505,51978012614.4
2744.46201611,-6773484.09471,247380.717447,0,-279.886784516,-7663.52637654,0,-29403986.5504,51978012614.5
2776.2647647,-6777999.06948,3551.97938952,0,-4.01871737847,-7668.63462318,0,-29403986.5504,51978012614.5
2804.89085743,-6774559.48921,-215934.55294,0,244.308554935,-7664.74307866,0,-29403986.5504,51978012614.5
2832.97068475,-6764281.99402,-431014.04973,0,487.649703021,-7653.11511066,0,-29403986.5504,51978012614.5
2862.78431415,-6745898.33606,-658892.743144,0,745.471874385,-7632.31582235,0,-29403986.5503,51978012614.5
2893.03961244,-6719396.39021,-889379.649201,0,1006.24498001,-7602.33149538,0,-29403986.5503,51978012614.6
2924.42772163,-6683582.29575,-1127391.55,0,1275.53187187,-7561.81139456,0,-29403986.5503,51978012614.6
2956.66057947,-6638033.49533,-1370326.72301,0,1550.3889586,-7510.27743814,0,-29403986.5503,51978012614.6
2989.92586111,-6581770.72434,-1619128.8235,0,1831.88389268,-7446.62168518,0,-29403986.5502,51978012614.7
3024.15012335,-6514157.96267,-1872706.61189,0,2118.7820446,-7370.12454193,0,-29403986.5502,51978012614.7
3059.37483247,-6434371.75757,-2130761.3907,0,2410.74546775,-7279.85435317,0,-29403986.5501,51978012614.8
3095.56900833,-6341747.01041,-2392389.7836,0,2706.75208128,-7175.05862567,0,-29403986.55,51978012614.8
3132.7270288,-6235595.66558,-2656808.37059,0,3005.91552308,-7054.95889266,0,-29403986.5499,51978012614.9
3170.82052359,-6115334.79287,-2923006.05469,0,3307.09183702,-6918.89562634,0,-29403986.5498,51978012615
3209.82318787,-5980438.18157,-3189928.39778,0,3609.08803085,-6766.27347142,0,-29403986.5497,51978012615.1
3249.69737835,-5830492.72977,-3456390.97273,0,3910.56404257,-6596.62504401,0,-29403986.5496,51978012615.2
3290.39895021,-5665201.94265,-3721124.96151,0,4210.08433025,-6409.61488957,0,-29403986.5495,51978012615.3
3331.87185936,-5484426.11231,-3982757.11668,0,4506.09520042,-6205.08494247,0,-29403986.5493,51978012615.5
3374.04735531,-5288208.7282,-4239826.93991,0,4796.94424389,-5983.08440671,0,-29403986.5491,51978012615.6
3416.84098163,-5076813.23081,-4490796.30515,0,5080.89122338,-5743.91133911,0,-29403986.5489,51978012615.8
3460.15187702,-4850749.34953,-4734080.14131,0,5356.14278793,-5488.14244797,0,-29403986.5487,51978012616
3503.8632808,-4610789.46003,-4968088.62571,0,5620.90021065,-5216.65159988,0,-29403986.5485,51978012616.2
3547.8455895,-4357963.82232,-5191284.55801,0,5873.42430162,-4930.60443199,0,-29403986.5483,51978012616.4
3591.96116154,-4093534.66348,-5402245.64407,0,6112.10587587,-4631.42902922,0,-29403986.548,51978012616.6
3636.07006569,-3818951.85744,-5599722.38166,0,6335.53124538,-4320.76578032,0,-29403986.5478,51978012616.8
3680.03533922,-3535799.70043,-5782681.42998,0,6542.5312874,-4000.40715955,0,-29403986.5476,51978012617
