t,x,y,z,vx,vy,vz,energy,h_mag
0,6771222,0,0,-0,4768.1217675,6015.87247281,-29403986.5595,51977986617.5
31.6797647558,6766859.94841,151020.538202,190540.498523,-275.354428985,4765.05012407,6011.9970233,-29403986.5594,51977986617.5
61.0511924211,6755026.72754,290867.40072,366983.326885,-530.335065834,4756.71749717,6001.48386461,-29403986.5594,51977986617.5
92.0014660383,6734462.57979,437880.086194,552467.173737,-798.379118832,4742.23686227,5983.21385031,-29403986.5594,51977986617.6
122.662971722,6705924.08828,582990.720922,735551.229795,-1062.95232654,4722.14108761,5957.85929279,-29403986.5593,51977986617.6
154.12698457,6668225.21994,731166.301711,922502.285384,-1333.10971621,4695.5951662,5924.36667544,-29403986.5593,51977986617.6
186.011828933,6621377.20476,880374.942636,1110756.73848,-1605.14546054,4662.60722104,5882.74624691,-29403986.5593,51977986617.6
218.629977853,6564510.65285,1031824.75005,1301838.83996,-1881.26084056,4622.56535468,5832.22598477,-29403986.5592,51977986617.7
251.91151391,6497247.42812,1184900.8267,1494972.78256,-2160.33331508,4575.20367029,5772.47041072,-29403986.5592,51977986617.7
285.950554576,6418898.51342,1339716.65277,1690301.74264,-2442.56815886,4520.03746629,5702.86798355,-29403986.5591,51977986617.8
320.736670285,6328968.23167,1495870.09168,1887318.35012,-2727.23051163,4456.71828694,5622.97906152,-29403986.5591,51977986617.8
356.295290435,6226882.45138,1653088.19881,2085678.23459,-3013.82094274,4384.84255812,5532.29446085,-29403986.559,51977986617.9
392.620390051,6112163.49283,1810923.3574,2284816.64424,-3301.52153191,4304.07474944,5430.39084752,-29403986.5589,51977986617.9
429.710853479,5984349.11666,1968917.93562,2484156.1914,-3589.49606785,4214.09034327,5316.85878218,-29403986.5589,51977986618
467.553287342,5843056.82001,2126531.4131,2683014.90911,-3876.75725384,4114.62110852,5191.35984142,-29403986.5588,51977986618.1
506.130823627,5687969.65398,2283182.39689,2880659.26199,-4162.24334473,4005.44511678,5053.61402128,-29403986.5587,51977986618.2
545.4177379,5518869.84909,2438231.28579,3076282.27418,-4444.78661063,3886.41041103,4903.4295997,-29403986.5585,51977986618.3
585.380242116,5335651.96843,2590991.12518,3269017.22466,-4723.133191,3757.44425406,4740.71480518,-29403986.5584,51977986618.4
625.97331167,5138353.64742,2740725.09179,3457934.47383,-4995.93859315,3618.57474747,4565.50509312,-29403986.5583,51977986618.5
667.139005636,4927182.23889,2886653.49429,3642050.29603,-5261.78054275,3469.94955588,4377.98676987,-29403986.5581,51977986618.7
708.804153339,4702545.42155,3027962.15869,3820337.45936,-5519.17436601,3311.85740657,4178.52411863,-29403986.5579,51977986618.8
750.879404481,4465074.41309,3163819.37676,3991746.60919,-5766.60397489,3144.74436902,3967.679939,-29403986.5578,51977986619
793.259675534,4215636.1339,3293399.96701,4155236.62557,-6002.56579979,2969.22234445,3746.22625818,-29403986.5576,51977986619.1
835.826709601,3955326.7178,3415916.36042,4309813.84371,-6225.62549285,2786.06441978,3515.13846913,-29403986.5574,51977986619.3
878.453339736,3685445.43001,3530652.16541,4454574.40238,-6434.47910551,2596.18643298,3275.57207178,-29403986.5572,51977986619.5
921.008642839,3407452.48495,3636992.90282,4588743.02183,-6628.00906021,2400.61721667,3028.82512983,-29403986.557,51977986619.6
963.362747919,3122919.44293,3734448.82125,4711701.78958,-6805.32564782,2200.46363478,2776.29415803,-29403986.5568,51977986619.8
1005.39033396,2833481.39316,3822667.41945,4823005.95973,-6965.78973946,1996.87689435,2519.43161816,-29403986.5566,51977986620
1046.97231861,2540798.06901,3901436.11573,4922387.32094,-7109.01753134,1791.02516009,2259.7113673,-29403986.5565,51977986620.1
1087.99571281,2246527.61443,3970677.50135,5009748.20769,-7234.87177727,1584.0750848,1998.60535493,-29403986.5563,51977986620.3
1128.35182793,1952314.28705,4030440.24241,5085150.02132,-7343.44510367,1377.1831547,1737.57270354,-29403986.5562,51977986620.4
1167.93299262,1659790.4828,4080888.45922,5148799.8301,-7435.04056876,1171.4971148,1478.06150694,-29403986.556,51977986620.5
1206.62769226,1370594.32953,4122291.84894,5201037.90721,-7510.15359993,968.168344788,1221.52444473,-29403986.5559,51977986620.6
1244.31357381,1086406.98697,4155018.37245,5242328.50369,-7569.45863304,768.378087565,969.451874573,-29403986.5558,51977986620.7
1280.84683795,809020.393301,4179531.28507,5273256.10232,-7613.80370797,573.385072625,723.431917833,-29403986.5558,51977986620.7
1316.0444226,540462.130188,4196393.06219,5294530.37043,-7644.21769595,384.613270799,485.261178573,-29403986.5557,51977986620.8
1349.64940697,283249.539945,4206281.51719,5307006.49565,-7661.9398861,203.830460369,257.170037899,-29403986.5557,51977986620.8
1381.2483943,41010.5600616,4210032.90414,5311739.56803,-7668.49913784,33.5844527424,42.3730337896,-29403986.5556,51977986620.9
1409.99186029,-179391.519357,4208772.07537,5310148.79803,-7665.95328328,-121.303967879,-153.047517825,-29403986.5556,51977986620.9
1436.8539807,-385200.75066,4203570.70817,5303586.30586,-7656.24692395,-265.928113332,-335.517777177,-29403986.5556,51977986620.9
1466.1703399,-609401.063319,4193464.48301,5290835.42307,-7637.58715491,-423.465856004,-534.280941328,-29403986.5556,51977986620.9
1495.55663303,-833463.41735,4178705.84604,5272214.65746,-7610.45558407,-580.896248887,-732.908663754,-29403986.5556,51977986620.9
1526.23697609,-1066406.0671,4158371.11134,5246558.6074,-7573.16077045,-744.555069648,-939.394706426,-29403986.5555,51977986620.9
1557.65489463,-1303615.62707,4132358.1367,5213738.40153,-7525.52301632,-911.200141252,-1149.64845997,-29403986.5555,51977986621
1590.13407071,-1547103.91701,4099981.73356,5172889.54701,-7466.29351504,-1082.24403382,-1365.45214435,-29403986.5555,51977986621
1623.53222463,-1795301.46386,4060920.77644,5123606.88432,-7394.8906262,-1256.58340672,-1585.4136901,-29403986.5554,51977986621
1657.92484064,-2048209.11182,4014643.03307,5065218.90347,-7310.34668184,-1434.21812767,-1809.53293036,-29403986.5554,51977986621.1
1693.26135793,-2304827.40663,3960771.22546,4997249.5981,-7211.97742451,-1614.44555054,-2036.92334632,-29403986.5553,51977986621.2
1729.54205457,-2564470.15079,3898881.60322,4919164.32827,-7099.01374681,-1796.78321202,-2266.9762208,-29403986.5552,51977986621.2
1766.72934583,-2826118.63327,3828637.43706,4830538.24736,-6970.84543674,-1980.51530471,-2498.78842961,-29403986.5551,51977986621.3
1804.79277767,-3088754.15472,3749730.32358,4730982.24711,-6826.91390175,-2164.92624675,-2731.45713313,-29403986.555,51977986621.4
1843.68499659,-3351196.82441,3661934.15751,4620211.05366,-6666.81055554,-2349.18750846,-2963.93698709,-29403986.5549,51977986621.5
1883.35184837,-3612190.38727,3565098.91335,4498035.38195,-6490.26534278,-2532.41720721,-3195.11533249,-29403986.5548,51977986621.6
1923.72470213,-3870368.40339,3459180.97627,4364400.20375,-6297.2019195,-2713.65638489,-3423.78226534,-29403986.5547,51977986621.7
1964.72202792,-4124288.87681,3344254.06379,4219398.52744,-6087.75741872,-2891.89333794,-3648.66133339,-29403986.5545,51977986621.8
2006.2474741,-4372450.41692,3220527.6348,4063294.62435,-5862.3158608,-3066.07496978,-3868.42385947,-29403986.5543,51977986622
2048.19182748,-4613336.4509,3088352.66661,3896531.31764,-5621.51854433,-3235.13781961,-4081.72808995,-29403986.5542,51977986622.1
2090.43564111,-4845463.33234,2948220.58472,3719728.63198,-5366.26198194,-3398.04180661,-4287.26176943,-29403986.554,51977986622.3
2132.85388566,-5067436.62792,2800749.6179,3533666.57798,-5097.67296144,-3553.80969457,-4483.79193269,-29403986.5538,51977986622.5
2175.32086485,-5278001.5233,2646663.12478,3339257.80707,-4817.06902798,-3701.56241181,-4670.20946725,-29403986.5536,51977986622.6
2217.71480727,-5476082.16402,2486762.63033,3137513.59207,-4525.90937809,-3840.54659416,-4845.56386413,-29403986.5534,51977986622.8
2259.92116415,-5660804.83286,2321900.80077,2929509.73005,-4225.74568381,-3970.15078079,-5009.08365173,-29403986.5533,51977986623
2301.83442968,-5831505.88724,2152957.4363,2716356.25258,-3918.17844359,-4089.91091813,-5160.18334019,-29403986.5531,51977986623.1
2343.35852329,-5987727.37198,1980820.54296,2499173.54443,-3604.82260202,-4199.50722343,-5298.45946406,-29403986.5529,51977986623.2
2384.40604766,-6129204.60611,1806372.92893,2279075.43235,-3287.28323751,-4298.75542713,-5423.67953303,-29403986.5528,51977986623.4
2424.89671886,-6255849.55213,1630484.15328,2057159.02684,-2967.14099602,-4387.59506782,-5535.7672638,-29403986.5526,51977986623.5
2464.75520936,-6367733.00196,1454007.31375,1834500.66936,-2645.94633027,-4466.07696803,-5634.78677842,-29403986.5525,51977986623.6
2503.90851631,-6465067.6662,1277780.30059,1612157.51431,-2325.22186138,-4534.35135396,-5720.92761521,-29403986.5524,51977986623.7
2542.28283432,-6548193.56373,1102631.48673,1391174.70823,-2006.47280629,-4592.65759763,-5794.49178646,-29403986.5523,51977986623.8
